id,product_id,stock_quantity,reorder_threshold,warehouse_location,created_at,updated_at
1,1,5,25,Zone C (Secure),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
2,2,67,50,Zone A (Main),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
3,3,465,100,Zone D (Bulk Pallets),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
4,4,50,15,Zone B (High-Bay),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
5,5,27,15,Zone B (High-Bay),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
6,6,119,25,Zone D (Bulk Pallets),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
7,7,13,15,Zone A (Main),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
8,8,70,25,Zone B (High-Bay),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
9,9,83,15,Zone B (High-Bay),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
10,10,264,50,Zone A (Main),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
11,11,163,50,Zone A (Main),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
12,12,0,100,Zone D (Bulk Pallets),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
13,13,62,15,Zone B (High-Bay),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
14,14,7,15,Zone A (Main),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
15,15,22,10,Zone A (Main),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
16,16,27,15,Zone B (High-Bay),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
17,17,9,15,Zone A (Main),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
18,18,105,25,Zone B (High-Bay),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
19,19,377,100,Zone D (Bulk Pallets),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
20,20,104,50,Zone A (Main),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
21,21,26,25,Zone D (Bulk Pallets),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
22,22,0,25,Zone B (High-Bay),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
23,23,218,50,Zone C (Secure),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
24,24,134,100,Zone B (High-Bay),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
25,25,203,50,Zone D (Bulk Pallets),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
26,26,60,10,Zone B (High-Bay),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
27,27,101,25,Zone C (Secure),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
28,28,298,50,Zone B (High-Bay),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
29,29,122,25,Zone C (Secure),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
30,30,2,50,Zone D (Bulk Pallets),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
31,31,239,50,Zone B (High-Bay),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
32,32,106,100,Zone B (High-Bay),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
33,33,17,10,Zone C (Secure),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
34,34,46,15,Zone A (Main),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
35,35,41,10,Zone C (Secure),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
36,36,41,15,Zone A (Main),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
37,37,71,15,Zone C (Secure),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
38,38,20,15,Zone D (Bulk Pallets),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
39,39,54,25,Zone C (Secure),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
40,40,94,25,Zone A (Main),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
41,41,43,15,Zone D (Bulk Pallets),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
42,42,326,100,Zone A (Main),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
43,43,14,10,Zone B (High-Bay),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
44,44,19,10,Zone B (High-Bay),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
45,45,10,15,Zone B (High-Bay),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
46,46,69,15,Zone D (Bulk Pallets),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
47,47,50,25,Zone B (High-Bay),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
48,48,113,50,Zone C (Secure),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
49,49,148,25,Zone B (High-Bay),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
50,50,86,25,Zone A (Main),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
51,51,46,25,Zone D (Bulk Pallets),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
52,52,206,50,Zone D (Bulk Pallets),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
53,53,76,15,Zone A (Main),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
54,54,71,50,Zone C (Secure),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
55,55,383,100,Zone B (High-Bay),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
56,56,64,25,Zone D (Bulk Pallets),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
57,57,102,25,Zone D (Bulk Pallets),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
58,58,55,10,Zone D (Bulk Pallets),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
59,59,39,15,Zone A (Main),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
60,60,56,10,Zone C (Secure),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
61,61,156,50,Zone D (Bulk Pallets),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
62,62,64,25,Zone A (Main),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
63,63,285,50,Zone A (Main),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
64,64,91,50,Zone B (High-Bay),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
65,65,247,50,Zone C (Secure),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
66,66,425,100,Zone C (Secure),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
67,67,37,10,Zone B (High-Bay),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
68,68,61,15,Zone A (Main),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
69,69,73,15,Zone B (High-Bay),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
70,70,99,25,Zone B (High-Bay),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
71,71,2,10,Zone D (Bulk Pallets),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
72,72,299,50,Zone A (Main),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
73,73,548,100,Zone D (Bulk Pallets),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
74,74,47,15,Zone C (Secure),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
75,75,437,100,Zone D (Bulk Pallets),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
76,76,310,100,Zone A (Main),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
77,77,59,10,Zone C (Secure),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
78,78,41,15,Zone D (Bulk Pallets),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
79,79,0,25,Zone B (High-Bay),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
80,80,0,50,Zone A (Main),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
81,81,217,50,Zone C (Secure),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
82,82,145,50,Zone B (High-Bay),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
83,83,38,15,Zone A (Main),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
84,84,104,50,Zone B (High-Bay),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
85,85,3,15,Zone B (High-Bay),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
86,86,136,25,Zone D (Bulk Pallets),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
87,87,209,50,Zone A (Main),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
88,88,2,15,Zone D (Bulk Pallets),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
89,89,31,10,Zone A (Main),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
90,90,348,100,Zone A (Main),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
91,91,1,10,Zone A (Main),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
92,92,60,10,Zone A (Main),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
93,93,296,50,Zone C (Secure),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
94,94,136,50,Zone D (Bulk Pallets),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
95,95,138,25,Zone C (Secure),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
96,96,145,25,Zone C (Secure),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
97,97,64,50,Zone C (Secure),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
98,98,25,25,Zone D (Bulk Pallets),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
99,99,277,50,Zone B (High-Bay),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
100,100,43,10,Zone C (Secure),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
101,101,75,15,Zone D (Bulk Pallets),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
102,102,0,15,Zone C (Secure),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
103,103,12,10,Zone C (Secure),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
104,104,174,50,Zone D (Bulk Pallets),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
105,105,278,100,Zone D (Bulk Pallets),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
106,106,269,50,Zone A (Main),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
107,107,99,50,Zone B (High-Bay),2026-09-24 15:51:32.430829+00:00,2026-09-24 15:51:32.430829+00:00
