id,sale_id,product_id,quantity,unit_price,discount_amount,line_total,created_at,updated_at
1,1,39,1,58.90,0.00,58.90,2026-04-03 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
2,1,9,4,73.97,0.00,295.88,2026-04-03 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
3,1,46,4,226.60,0.00,906.40,2026-04-03 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
4,2,37,2,4.83,0.48,9.18,2025-07-25 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
5,3,10,6,26.82,8.05,152.87,2026-04-10 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
6,3,149,4,13.78,2.76,52.36,2026-04-10 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
7,4,25,30,68.73,103.10,1958.80,2026-09-10 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
8,4,23,21,62.82,65.96,1253.26,2026-09-10 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
9,5,60,2,23.84,2.38,45.30,2026-09-08 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
10,5,134,2,8.70,0.87,16.53,2026-09-08 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
11,5,105,1,37.38,1.87,35.51,2026-09-08 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
12,6,1,1,240.52,12.03,228.49,2026-04-25 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
13,6,5,1,100.68,5.03,95.65,2026-04-25 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
14,6,60,5,23.84,5.96,113.24,2026-04-25 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
15,7,125,19,39.40,0.00,748.60,2026-09-06 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
16,7,21,9,32.08,0.00,288.72,2026-09-06 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
17,7,67,23,40.18,0.00,924.14,2026-09-06 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
18,7,40,20,30.63,0.00,612.60,2026-09-06 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
19,8,41,2,152.34,15.23,289.45,2026-07-26 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
20,8,1,3,240.52,36.08,685.48,2026-07-26 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
21,9,2,3,37.93,0.00,113.79,2026-06-07 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
22,9,34,3,31.49,0.00,94.47,2026-06-07 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
23,9,1,4,240.52,0.00,962.08,2026-06-07 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
24,10,2,25,37.93,94.83,853.42,2025-12-10 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
25,10,3,11,72.17,79.39,714.48,2025-12-10 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
26,10,35,27,10.84,29.27,263.41,2025-12-10 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
