id,transaction_number,customer_id,transaction_date,status,subtotal,discount_amount,tax_amount,total_amount,created_at,updated_at
1,TXN-202604-000001,407,2026-04-03 00:00:00+00:00,completed,1261.18,0.00,94.59,1355.77,2026-04-03 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
2,TXN-202507-000002,377,2025-07-25 00:00:00+00:00,completed,9.18,0.46,0.65,9.37,2025-07-25 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
3,TXN-202604-000003,587,2026-04-10 00:00:00+00:00,completed,205.23,0.00,15.39,220.62,2026-04-10 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
4,TXN-202609-000004,334,2026-09-10 00:00:00+00:00,completed,3212.06,0.00,240.90,3452.96,2026-09-10 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
5,TXN-202609-000005,599,2026-09-08 00:00:00+00:00,completed,97.34,0.00,7.30,104.64,2026-09-08 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
6,TXN-202604-000006,126,2026-04-25 00:00:00+00:00,refunded,437.38,0.00,32.80,470.18,2026-04-25 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
7,TXN-202609-000007,176,2026-09-06 00:00:00+00:00,completed,2574.06,0.00,193.05,2767.11,2026-09-06 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
8,TXN-202607-000008,361,2026-07-26 00:00:00+00:00,completed,974.93,0.00,73.12,1048.05,2026-07-26 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
9,TXN-202606-000009,138,2026-06-07 00:00:00+00:00,completed,1170.34,0.00,87.78,1258.12,2026-06-07 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
10,TXN-202512-000010,468,2025-12-10 00:00:00+00:00,completed,8389.24,0.00,629.19,9018.43,2025-12-10 00:00:00+00:00,2026-09-24 15:51:32.431066+00:00
